Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = Bio
Var Index  3 = Pse
Var Index  4 = Dea

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Bulk
0,    3.400,  2,  2,   2.06728e+00,   2.06821e+00,   2.07103e+00,   2.07572e+00,   2.08229e+00,   2.84370e+00
0,    3.400,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.400,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.95000e-03
0,    3.500,  1,  0,   2.82000e+00
0,    3.500,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.500,  2,  2,   2.09606e+00,   2.09696e+00,   2.09966e+00,   2.10416e+00,   2.11047e+00,   2.86154e+00
0,    3.500,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.500,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.79000e-03
0,    3.600,  1,  0,   2.75000e+00
0,    3.600,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.600,  2,  2,   2.12400e+00,   2.12486e+00,   2.12745e+00,   2.13178e+00,   2.13783e+00,   2.87881e+00
0,    3.600,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.600,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.64000e-03
0,    3.700,  1,  0,   2.68000e+00
0,    3.700,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.700,  2,  2,   2.15111e+00,   2.15194e+00,   2.15444e+00,   2.15859e+00,   2.16442e+00,   2.89554e+00
0,    3.700,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.700,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.50000e-03
