Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = H2O2
Var Index  3 = Dead
Var Index  4 = Pse

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Grid  6,  Grid  7,  Grid  8,  Grid  9,  Bulk
0,    0.130,  1,  0,   9.57100e+01
0,    0.130,  2,  1,   1.97276e+01,   1.98008e+01,   2.00204e+01,   2.03867e+01,   2.08999e+01,   2.15604e+01,   2.23687e+01,   2.33255e+01,   2.44312e+01,   2.48471e+01
0,    0.130,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.130,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.55400e-02
0,    0.130,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   1.63294e+00
0,    0.140,  1,  0,   1.00760e+02
0,    0.140,  2,  1,   1.93401e+01,   1.94210e+01,   1.96639e+01,   2.00689e+01,   2.06364e+01,   2.13670e+01,   2.22613e+01,   2.33199e+01,   2.45436e+01,   2.49809e+01
0,    0.140,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.140,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.75200e-02
0,    0.140,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   1.86385e+00
0,    0.150,  1,  0,   1.05980e+02
0,    0.150,  2,  1,   1.87560e+01,   1.88452e+01,   1.91129e+01,   1.95594e+01,   2.01851e+01,   2.09908e+01,   2.19772e+01,   2.31452e+01,   2.44957e+01,   2.49544e+01
0,    0.150,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.150,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.96800e-02
0,    0.150,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   2.11779e+00
0,    0.160,  1,  0,   1.11360e+02
0,    0.160,  2,  1,   1.79884e+01,   1.80864e+01,   1.83805e+01,   1.88710e+01,   1.95587e+01,   2.04442e+01,   2.15287e+01,   2.28133e+01,   2.42991e+01,   2.47794e+01
0,    0.160,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.160,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   2.20300e-02
0,    0.160,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   2.39655e+00
0,    0.170,  1,  0,   1.16890e+02
0,    0.170,  2,  1,   1.70518e+01,   1.71590e+01,   1.74808e+01,   1.80177e+01,   1.87706e+01,   1.97404e+01,   2.09285e+01,   2.23364e+01,   2.39654e+01,   2.44672e+01
0,    0.170,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.170,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   2.46000e-02
0,    0.170,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   2.70189e+00
0,    0.180,  1,  0,   1.22550e+02
0,    0.180,  2,  1,   1.59624e+01,   1.60792e+01,   1.64298e+01,   1.70149e+01,   1.78356e+01,   1.88934e+01,   2.01898e+01,   2.17267e+01,   2.35061e+01,   2.40288e+01
0,    0.180,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.180,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   2.73800e-02
0,    0.180,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   3.03558e+00
0,    0.190,  1,  0,   1.28310e+02
0,    0.190,  2,  1,   1.47396e+01,   1.48662e+01,   1.52463e+01,   1.58808e+01,   1.67712e+01,   1.79193e+01,   1.93274e+01,   2.09979e+01,   2.29332e+01,   2.34762e+01
0,    0.190,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.190,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   3.04100e-02
0,    0.190,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   3.39922e+00
0,    0.200,  1,  0,   1.34150e+02
0,    0.200,  2,  1,   1.34073e+01,   1.35437e+01,   1.39533e+01,   1.46373e+01,   1.55978e+01,   1.68373e+01,   1.83587e+01,   2.01651e+01,   2.22597e+01,   2.28218e+01
0,    0.200,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.200,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   3.36800e-02
0,    0.200,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   3.79421e+00
0,    0.210,  1,  0,   1.40040e+02
0,    0.210,  2,  1,   1.19947e+01,   1.21406e+01,   1.25788e+01,   1.33111e+01,   1.43403e+01,   1.56698e+01,   1.73035e+01,   1.92456e+01,   2.15000e+01,   2.20795e+01
0,    0.210,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.210,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   3.72000e-02
0,    0.210,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   4.22176e+00
0,    0.220,  1,  0,   1.45940e+02
0,    0.220,  2,  1,   1.05376e+01,   1.06923e+01,   1.11571e+01,   1.19346e+01,   1.30286e+01,   1.44439e+01,   1.61857e+01,   1.82593e+01,   2.06700e+01,   2.12646e+01
0,    0.220,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.220,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   4.09800e-02
0,    0.220,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   4.68278e+00
0,    0.230,  1,  0,   1.51790e+02
0,    0.230,  2,  1,   9.07963e+00,   9.24186e+00,   9.72980e+00,   1.05470e+01,   1.16989e+01,   1.31920e+01,   1.50334e+01,   1.72300e+01,   1.97886e+01,   2.03955e+01
